Read Name	ARO
NC_016845.1_0-2506	3005947
NC_016845.1_0-2670	3005947
NC_016845.1_0-1176	3005947
NC_016845.1_0-3530	3005947
NC_016845.1_0-742	3005947
NC_016845.1_0-3282	3005947
NC_016845.1_0-3526	3005947
NC_016845.1_0-3864	3005947
NC_016845.1_0-4084	3005947
NC_016845.1_0-3520	3005947
NC_016845.1_1-1968	3005947
NC_016845.1_1-2606	3005947
NC_016845.1_2-428	3005947
NC_016845.1_2-1458	3005947
NC_016845.1_2-3258	3005947
NC_016845.1_3-774	3005947
NC_016845.1_3-204	3005947
NC_016845.1_3-3482	3005947
NC_016845.1_3-1428	3005947
NC_016845.1_3-3640	3005947
NC_016845.1_4-1870	3005947
NC_016845.1_4-3522	3005947
NC_016845.1_4-4302	3005947
NC_016845.1_4-2966	3005947
NC_016845.1_4-2304	3005947
NC_016845.1_0-1930	3005279
NC_016845.1_0-262	3005279
NC_016845.1_0-834	3005279
NC_016845.1_0-3800	3005279
NC_016845.1_1-3118	3005279
NC_016845.1_1-1606	3005279
NC_016845.1_2-1288	3005279
NC_016845.1_2-3482	3005279
NC_016845.1_2-3418	3005279
NC_016845.1_2-1700	3005279
NC_016845.1_2-1600	3005279
NC_016845.1_2-3804	3005279
NC_016845.1_2-2012	3005279
NC_016845.1_2-2482	3005279
NC_016845.1_3-1154	3005279
NC_016845.1_3-340	3005279
NC_016845.1_3-2674	3005279
NC_016845.1_3-1860	3005279
NC_016845.1_3-2744	3005279
NC_016845.1_4-1362	3005279
NC_016845.1_4-3106	3005279
NC_016839.1_0-490	3005306
NC_016839.1_0-328	3005306
NC_016839.1_0-206	3005306
NC_016839.1_0-598	3005306
NC_016839.1_1-520	3005306
NC_016839.1_1-146	3005306
NC_016839.1_1-494	3005306
NC_016839.1_1-70	3005306
NC_016839.1_2-226	3005306
NC_016839.1_2-2	3005306
NC_016839.1_2-162	3005306
NC_016839.1_2-568	3005306
NC_016839.1_2-304	3005306
NC_016839.1_2-164	3005306
NC_016839.1_2-518	3005306
NC_016839.1_2-556	3005306
NC_016839.1_3-104	3005306
NC_016839.1_3-710	3005306
NC_016839.1_3-714	3005306
NC_016839.1_3-792	3005306
NC_016839.1_3-842	3005306
NC_016839.1_3-92	3005306
NC_016839.1_3-776	3005306
NC_016839.1_3-862	3005306
NC_016839.1_4-576	3005306
NC_016839.1_4-272	3005306
NC_016839.1_4-360	3005306
NC_016839.1_4-38	3005306
NC_016846.1_0-634	3004770
NC_016846.1_0-328	3004770
NC_016846.1_0-312	3004770
NC_016846.1_0-18	3004770
NC_016846.1_0-334	3004770
NC_016846.1_1-894	3004770
NC_016846.1_1-18	3004770
NC_016846.1_2-532	3004770
NC_016846.1_3-370	3004770
NC_016846.1_3-286	3004770
NC_016846.1_3-366	3004770
NC_016846.1_3-882	3004770
NC_016846.1_4-78	3004770
NC_016846.1_4-548	3004770
NC_016847.1_0-28	3001943
NC_016847.1_0-22	3001943
NC_016847.1_0-26	3001943
NC_016847.1_0-32	3001943
NC_016847.1_0-14	3001943
NC_016847.1_0-24	3001943
NC_016847.1_0-30	3001943
NC_016847.1_1-28	3001943
NC_016847.1_1-10	3001943
NC_016847.1_1-30	3001943
NC_016847.1_1-36	3001943
NC_016847.1_1-8	3001943
NC_016847.1_1-24	3001943
NC_016847.1_1-4	3001943
NC_016847.1_1-18	3001943
NC_016847.1_1-16	3001943
NC_016847.1_2-12	3001943
NC_016847.1_2-40	3001943
NC_016847.1_2-44	3001943
NC_016847.1_2-32	3001943
NC_016847.1_3-20	3001943
NC_016847.1_3-14	3001943
NC_016847.1_3-44	3001943
NC_016847.1_3-16	3001943
NC_016847.1_3-34	3001943
NC_016847.1_3-26	3001943
NC_016847.1_3-32	3001943
NC_016847.1_3-18	3001943
NC_016847.1_3-40	3001943
NC_016847.1_4-24	3001943
NC_016847.1_4-4	3001943
NC_016847.1_4-44	3001943
NC_016847.1_4-40	3001943
NC_016847.1_4-38	3001943
NC_016847.1_4-2	3001943
NC_016847.1_4-28	3001943
NC_016847.1_4-8	3001943
NC_016847.1_4-6	3001943
NC_016847.1_4-18	3001943
NC_016841.1_0-4	3002628
NC_016841.1_0-12	3002628
NC_016841.1_0-6	3002628;3002437
